"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-84.79","47.97","WAWA A","6059407","2018-09-07 02:00","2018","09","07","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 03:00","2018","09","07","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 04:00","2018","09","07","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 05:00","2018","09","07","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 06:00","2018","09","07","06:00","4.8","","4.8","","100","","","","0","","1","","24.1","","99.21","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 07:00","2018","09","07","07:00","5.2","","5.2","","100","","","","36","","2","","24.1","","99.24","","","","","","Mainly Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-07 08:00","2018","09","07","08:00","9.4","","8.8","","96","","","","36","","1","","24.1","","99.27","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 09:00","2018","09","07","09:00","13.3","","9.9","","79","","","","34","","8","","24.1","","99.30","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 10:00","2018","09","07","10:00","14.6","","9.6","","72","","","","2","","12","","24.1","","99.32","","","","","","Mainly Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-07 11:00","2018","09","07","11:00","15.4","","8.7","","64","","","","34","","14","","24.1","","99.34","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 12:00","2018","09","07","12:00","16.1","","8.1","","59","","","","2","","16","","24.1","","99.35","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 13:00","2018","09","07","13:00","16.8","","6.5","","50","","","","4","","14","","24.1","","99.35","","","","","","Mainly Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-07 14:00","2018","09","07","14:00","17.0","","6.1","","48","","","","4","","15","","24.1","","99.34","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 15:00","2018","09","07","15:00","17.6","","5.6","","45","","","","5","","17","","24.1","","99.31","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 16:00","2018","09","07","16:00","17.6","","5.0","","43","","","","4","","15","","24.1","","99.30","","","","","","Mainly Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-07 17:00","2018","09","07","17:00","16.7","","4.4","","44","","","","4","","16","","24.1","","99.32","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 18:00","2018","09","07","18:00","15.1","","4.1","","48","","","","3","","9","","24.1","","99.37","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-07 19:00","2018","09","07","19:00","13.1","","3.5","","52","","","","3","","9","","24.1","","99.41","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-07 20:00","2018","09","07","20:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 21:00","2018","09","07","21:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 22:00","2018","09","07","22:00"
"-84.79","47.97","WAWA A","6059407","2018-09-07 23:00","2018","09","07","23:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 00:00","2018","09","08","00:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 01:00","2018","09","08","01:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 02:00","2018","09","08","02:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 03:00","2018","09","08","03:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 04:00","2018","09","08","04:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 05:00","2018","09","08","05:00"
"-84.79","47.97","WAWA A","6059407","2018-09-08 06:00","2018","09","08","06:00","1.8","","1.5","","98","","","","36","","1","","24.1","","99.67","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-08 07:00","2018","09","08","07:00","2.4","","2.4","","100","","","","33","","5","","24.1","","99.69","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-08 08:00","2018","09","08","08:00","5.8","","4.3","","90","","","","33","","5","","24.1","","99.71","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-08 09:00","2018","09","08","09:00","9.5","","3.5","","66","","","","12","","9","","24.1","","99.68","","","","","","NA"
"-84.79","47.97","WAWA A","6059407","2018-09-08 10:00","2018","09","08","10:00","11.2","","1.8","","52","","","","6","","9","","24.1","","99.65","","","","","","Clear"
"-84.79","47.97","WAWA A","6059407","2018-09-08 11:00","2018","09","08","11:00","12.7","","1.7","","47","","","","6","","13","","24.1","","99.63","","","","","","NA"
